COMBUSTÍVEL,ANO,REGIÃO,ESTADO,UNIDADE,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO SUL,SANTA CATARINA,m3,4674.683,4070.821,2335.003,314.094,709.403,775.621,903.87,1053.495,1377.599,2024.872,2427.779,3329.258,23996.498
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO SUL,PARANÁ,m3,11227.273,9978.165,6850.18,1470.782,1952.591,2014.988,2144.263,2325.469,3046.266,4852.756,5637.088,5936.872,57436.693
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO SUDESTE,SÃO PAULO,m3,369348.397,328711.236,256780.36,50093.277,63670.28,81324.28,101385.682,109706.914,125092.308,153513.83,169277.926,197648.665,2006553.155
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO SUDESTE,RIO DE JANEIRO,m3,80973.292,70643.349,51781.105,6827.48,8612.573,11084.756,15253.912,18658.198,22142.648,25823.965,26687.018,34794.774,373283.07
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO SUDESTE,ESPÍRITO SANTO,m3,2262.542,1830.504,1275.263,354.106,540.725,644.967,811.365,978.401,1115.3,1528.011,1953.466,2427.153,15721.803
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO SUDESTE,MINAS GERAIS,m3,20379.84,16655.571,12094.206,1806.646,2251.087,2545.533,4189.024,6183.032,7038.994,9316.492,11040.11,13992.751,107493.286
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,BAHIA,m3,19973.091,15187.814,9803.044,1623.952,2075.469,1999.36,2563.132,3197.219,5236.557,8868.786,10303.295,12738.551,93570.27
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,SERGIPE,m3,2896.854,2137.649,1238.239,105.573,135.568,339.38,401.777,645.527,740.456,1135.989,1309.621,1664.456,12751.089
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,ALAGOAS,m3,4380.13,3119.671,1978.642,201.968,208.634,198.435,549.922,1025.701,1556.768,2746.334,3630.751,4795.12,24392.076
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,PERNAMBUCO,m3,23765.192,20759.966,14365.585,2026.993,2139.551,3850.06,5505.537,7901.542,9529.661,12595.324,14449.142,18064.827,134953.38
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,PARAÍBA,m3,4922.098,3662.862,2776.238,255.524,277.782,592.263,899.426,1215.03,1347.955,1975.518,2227.192,3658.766,23810.654
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,RIO GRANDE DO NORTE,m3,7506.471,5722.125,4248.958,1099.823,1380.873,1090.187,1278.29,1562.537,2182.773,3580.771,3894.277,5068.254,38615.339
